epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.0719027519226074,0.5490196347236633,28.14784049987793,0.38461539149284363,0.001
2,24.805191040039062,0.45098039507865906,20.360910415649414,0.38461539149284363,0.001
3,17.527467727661133,0.45098039507865906,3.6591782569885254,0.38461539149284363,0.001
4,2.3942153453826904,0.45098039507865906,9.32852554321289,0.6153846383094788,0.001
5,10.913484573364258,0.5490196347236633,14.759161949157715,0.6153846383094788,0.001
6,17.25758934020996,0.5490196347236633,15.328291893005371,0.6153846383094788,0.001
7,17.91037368774414,0.5490196347236633,12.405374526977539,0.6153846383094788,0.001
8,14.475544929504395,0.5490196347236633,6.86051607131958,0.6153846383094788,0.001
9,7.971860885620117,0.5490196347236633,0.314991295337677,0.8461538553237915,0.001
10,0.5206650495529175,0.8235294222831726,7.652336597442627,0.46153849363327026,0.001
11,3.643887758255005,0.5490196347236633,13.04776382446289,0.38461539149284363,0.001
12,8.073773384094238,0.4705882668495178,13.012919425964355,0.38461539149284363,0.001
13,7.741985321044922,0.4705882668495178,8.957508087158203,0.46153849363327026,0.001
14,3.926642656326294,0.6470588445663452,3.6715750694274902,0.5384615659713745,0.001
15,1.054015874862671,0.843137264251709,0.34235653281211853,0.8461538553237915,0.001
16,0.6726124286651611,0.8235294222831726,2.2862372398376465,0.692307710647583,0.001
17,2.884403705596924,0.6274510025978088,3.4470744132995605,0.6153846383094788,0.001
